Ev Sahibi,Deplasman Takımı,Ev IY,Dep IY,Ev MS,Dep MS,Ev Oran,Beraberlik Oran,Dep Oran,Mac Sonucu,ALT-UST
Charlotte FC , Vancouver W,0,0,0,0,1.58,3.6,4.7,0,ALT
NY City FC , Chicago Fire,0,0,0,0,1.45,4.1,5.2,0,ALT
Montreal Impact , Real Salt Lake,0,0,0,0,1.6,3.7,4.3,0,ALT
Barcelona , Villarreal,0,0,0,0,1.85,3.6,3.4,0,ALT
Sociedad , Atletico Madrid,0,0,0,0,2.5,2.9,2.65,0,ALT
Sevilla , Athletic Bilbao,0,0,0,0,2.65,2.95,2.45,0,ALT
Salernitana , Udinese,0,3,0,4,1.87,3.5,3.4,2,UST
Venezia , Cagliari,0,0,0,0,4.7,3.8,1.55,0,ALT
O'Higgins , Colo Colo,1,0,1,1,3.5,3.3,1.87,0,UST
Fortaleza , Fluminense,0,1,0,1,1.92,3.0,3.7,2,ALT
Corinthians , Sao Paulo,0,1,1,1,2.35,2.7,3.05,0,UST
Osasuna , Mallorca,0,0,0,2,2.8,3.0,2.3,2,ALT
Granada , Espanyol,0,0,0,0,1.4,4.3,5.8,0,ALT
Alaves , Cadiz,0,0,0,1,4.0,3.6,1.67,2,ALT
Hamarkameratene , Rosenborg,0,1,1,1,2.75,3.2,2.25,0,UST
Inter , Sampdoria,0,0,3,0,1.1,8.0,12.0,1,UST
Sassuolo , Milan,0,3,0,3,6.5,4.7,1.35,2,UST
Tromso , Viking FK,0,0,1,1,2.3,3.2,2.65,0,ALT
Stromsgodset , Valerenga,3,0,3,2,2.15,3.4,2.75,1,UST
Jerv , Odd BK,0,0,0,1,2.45,3.2,2.5,2,ALT
Haugesund , Bodo Glimt,0,3,1,4,4.0,3.5,1.7,2,UST
Sarpsborg , Aalesund,1,1,1,2,1.85,3.5,3.4,2,UST
Vitesse Arnhem , Utrecht,1,0,2,0,1.9,3.4,3.3,1,UST
Palestino Chile , Cobresal,2,0,3,1,2.05,3.2,3.1,1,UST
Elche , Getafe,1,1,3,1,3.0,2.65,2.4,1,UST
Kalmar , Djurgarden,0,0,1,0,2.9,2.9,2.3,1,ALT
Malmo , BK Hacken,0,0,1,2,1.67,3.6,4.0,2,UST
Burnley , Newcastle,0,1,1,2,2.35,3.0,2.75,2,UST
Brentford , Leeds,0,0,1,2,1.97,3.8,2.85,2,UST
Leicester , Southampton,0,0,4,1,1.6,3.8,4.2,1,UST
Brighton , West Ham,0,1,3,1,2.55,3.0,2.6,1,UST
Manchester City , Aston Villa,0,1,3,2,1.2,5.8,9.0,1,UST
